Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
11/13/2013,65,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/14/2013,64,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/15/2013,51,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/16/2013,38,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/17/2013,35,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/18/2013,25,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/19/2013,26,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/20/2013,61,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/21/2013,65,,Hillsboro - Hare Field,41-067-0004,AQS
11/22/2013,93,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/23/2013,99,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/24/2013,134,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/25/2013,151,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/26/2013,142,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/27/2013,157,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/28/2013,154,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/29/2013,137,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/30/2013,119,,Hillsboro - Hare Field,41-067-0004,AQS
12/01/2013,18,,Hillsboro - Hare Field,41-067-0004,AQS
12/02/2013,54,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
12/03/2013,68,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
12/04/2013,71,,YACOLT - YACOLT RD,53-011-0022,AQS
12/05/2013,104,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
12/06/2013,52,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
12/07/2013,56,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
12/08/2013,118,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
