Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
03/02/2015,35,,Portland - SE Lafayette,41-051-0080,AQS
03/03/2015,51,,Portland - SE Lafayette,41-051-0080,AQS
03/04/2015,60,,Portland - SE Lafayette,41-051-0080,AQS
03/05/2015,81,,Portland - SE Lafayette,41-051-0080,AQS
03/06/2015,76,,Portland - SE Lafayette,41-051-0080,AQS
03/07/2015,64,,Hillsboro - Hare Field,41-067-0004,AQS
03/08/2015,77,,Portland - SE Lafayette,41-051-0080,AQS
03/09/2015,60,,Portland - SE Lafayette,41-051-0080,AQS
03/10/2015,55,,Hillsboro - Hare Field,41-067-0004,AQS
03/11/2015,32,,Portland - SE Lafayette,41-051-0080,AQS
03/12/2015,33,,Vancouver-NE 84th Ave,53-011-0024,AQS
03/13/2015,46,,Hillsboro - Hare Field,41-067-0004,AQS
03/14/2015,25,,Portland - SE Lafayette,41-051-0080,AQS
03/15/2015,17,,Portland - SE Lafayette,41-051-0080,AQS
03/16/2015,19,,Hillsboro - Hare Field,41-067-0004,AQS
03/17/2015,27,,Portland - SE Lafayette,41-051-0080,AQS
03/18/2015,37,,Vancouver-NE 84th Ave,53-011-0024,AQS
03/19/2015,55,,Portland - SE Lafayette,41-051-0080,AQS
03/20/2015,52,,Portland - SE Lafayette,41-051-0080,AQS
03/21/2015,28,,YACOLT - YACOLT RD,53-011-0022,AQS
03/22/2015,35,,Portland - SE Lafayette,41-051-0080,AQS
03/23/2015,25,,Portland - SE Lafayette,41-051-0080,AQS
03/24/2015,16,,Portland - SE Lafayette,41-051-0080,AQS
03/25/2015,28,,Portland - SE Lafayette,41-051-0080,AQS
03/26/2015,42,,Portland - SE Lafayette,41-051-0080,AQS
03/27/2015,33,,Portland - SE Lafayette,41-051-0080,AQS
03/28/2015,27,,Portland - SE Lafayette,41-051-0080,AQS
03/29/2015,30,,Portland - SE Lafayette,41-051-0080,AQS
03/30/2015,29,,Portland - SE Lafayette,41-051-0080,AQS
03/31/2015,17,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/01/2015,22,,Hillsboro - Hare Field,41-067-0004,AQS
04/02/2015,29,,Portland - SE Lafayette,41-051-0080,AQS
04/03/2015,36,,Portland - SE Lafayette,41-051-0080,AQS
04/04/2015,51,,Portland - SE Lafayette,41-051-0080,AQS
04/05/2015,40,,Portland - SE Lafayette,41-051-0080,AQS
04/06/2015,17,,Portland - SE Lafayette,41-051-0080,AQS
04/07/2015,17,,Portland - SE Lafayette,41-051-0080,AQS
04/08/2015,23,,Portland - SE Lafayette,41-051-0080,AQS
04/09/2015,42,,Portland - SE Lafayette,41-051-0080,AQS
04/10/2015,28,,Portland - SE Lafayette,41-051-0080,AQS
04/11/2015,20,,Portland - SE Lafayette,41-051-0080,AQS
04/12/2015,27,,Portland - SE Lafayette,41-051-0080,AQS
