Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1920,6,-0.088,-0.123,-0.115,-0.13
Portland ME,1920,7,-0.101,-0.123,-0.115,-0.13
Portland ME,1920,8,-0.118,-0.122,-0.115,-0.13
Portland ME,1920,9,-0.084,-0.122,-0.115,-0.13
Portland ME,1920,10,-0.046,-0.122,-0.114,-0.13
Portland ME,1920,11,-0.094,-0.122,-0.114,-0.13
Portland ME,1920,12,-0.037,-0.122,-0.114,-0.129
Portland ME,1921,1,-0.036,-0.122,-0.114,-0.129
Portland ME,1921,2,-0.071,-0.121,-0.114,-0.129
Portland ME,1921,3,-0.154,-0.121,-0.114,-0.129
Portland ME,1921,4,-0.127,-0.121,-0.113,-0.129
Portland ME,1921,5,-0.066,-0.121,-0.113,-0.129
Portland ME,1921,6,-0.112,-0.121,-0.113,-0.128
Portland ME,1921,7,-0.12,-0.121,-0.113,-0.128
Portland ME,1921,8,-0.182,-0.12,-0.113,-0.128
Portland ME,1921,9,-0.112,-0.12,-0.113,-0.128
Portland ME,1921,10,-0.101,-0.12,-0.113,-0.128
Portland ME,1921,11,-0.094,-0.12,-0.112,-0.128
Portland ME,1921,12,-0.116,-0.12,-0.112,-0.127
Portland ME,1922,1,-0.228,-0.12,-0.112,-0.127
Portland ME,1922,2,-0.156,-0.12,-0.112,-0.127
Portland ME,1922,3,-0.124,-0.119,-0.112,-0.127
Portland ME,1922,4,-0.1,-0.119,-0.112,-0.127
Portland ME,1922,5,-0.182,-0.119,-0.112,-0.127
Portland ME,1922,6,-0.152,-0.119,-0.111,-0.126
Portland ME,1922,7,-0.156,-0.119,-0.111,-0.126
Portland ME,1922,8,-0.136,-0.119,-0.111,-0.126
Portland ME,1922,9,-0.148,-0.118,-0.111,-0.126
Portland ME,1922,10,-0.107,-0.118,-0.111,-0.126
Portland ME,1922,11,-0.103,-0.118,-0.111,-0.126
Portland ME,1922,12,-0.141,-0.118,-0.111,-0.125
Portland ME,1923,1,-0.03,-0.118,-0.11,-0.125
Portland ME,1923,2,-0.092,-0.118,-0.11,-0.125
Portland ME,1923,3,-0.121,-0.117,-0.11,-0.125
Portland ME,1923,4,-0.121,-0.117,-0.11,-0.125
Portland ME,1923,5,-0.13,-0.117,-0.11,-0.125
Portland ME,1923,6,-0.134,-0.117,-0.11,-0.124
Portland ME,1923,7,-0.172,-0.117,-0.109,-0.124
Portland ME,1923,8,-0.173,-0.117,-0.109,-0.124
Portland ME,1923,9,-0.194,-0.117,-0.109,-0.124
Portland ME,1923,10,-0.155,-0.116,-0.109,-0.124
Portland ME,1923,11,-0.097,-0.116,-0.109,-0.124
Portland ME,1923,12,-0.126,-0.116,-0.109,-0.123
Portland ME,1924,1,-0.186,-0.116,-0.109,-0.123
Portland ME,1924,2,-0.101,-0.116,-0.108,-0.123
Portland ME,1924,3,-0.011,-0.116,-0.108,-0.123
